"","Sample","Joint.Location","Pathotype","Seropositivity","GCTreatment","Protocol","Sex","Age"
"AL139246.5",0.712112950478072,0.143694317620713,0.00234261980039951,0.0272565218690124,0.0515564918611711,0.0387173843284905,0.00854938385999038,0.00611462838249199
"TNFRSF14-AS1",0.354409444529313,0.0560057183102702,0.0237539071358372,0.0303432430349249,0.0572315544452473,0.00872228759173366,0.0175724941569921,0.0321751096847289
"TNFRSF14",1.40851927013278,0.0288374540138414,0.286150321034173,0.0224675769761595,0.176316777949659,0.192954908430432,0.0538656280057337,0.41118645967807
"AL139246.3",0.0727733897830429,0.0090194627461182,0.00668757861931324,0.00553047689437758,0.0043706493047857,0.000279444721218436,0.00012610756892073,0.00139074834182296
"PRXL2B",0.464354850709381,0.0392932502726984,0.0153688881373459,0.0186564479719653,0.0155258844998674,0.00620170088682093,0.0745270218345806,0.0498755846268462
"MMEL1",0.0567684450289874,0.00190495742391494,0.0183246238258272,0.000954233947614291,0.000194088366300971,0.000216366431726733,0.00276919986449409,0.00149479449631507
"TTC34",0.0528177989041256,0.00656561925986843,0.0226753836396587,4.67816566707135e-05,4.13837010326823e-05,0.0016841413397306,0.00963689654752686,0.000582599912557491
"PRDM16-DT",0.137561910565265,0.0364172896460513,0.0234129354418688,0.000333720206069366,3.92342445199034e-06,0.0130754454001791,0.00138944670365904,0.000436526238434265
"PRDM16",0.922913616600207,0.372833893564217,0.00851717186265422,0.0053247040747606,0.0401145124163005,0.0687518031543433,0.00906462253656981,0.124847250690108
"AL590438.1",0.0893203381077901,0.00570472299458169,0.0228642486566621,0.0441323507203939,0.00759548173184799,0.00398896934769022,0.00350512792293145,0.000374344711295826
"AL354743.2",0.22288908521727,0.0294413376685787,0.0112522345049437,0.00215369452529757,0.043395000633184,0.000521000110076386,0.0218358134634444,0.00069089885391671
"AL354743.1",0.0434997253039859,0.00688806968230926,0.00710709599202053,0.000440058238604379,0.000384737978331717,0.00044022870577809,0.00422594003828269,0.00691645595751744
"ARHGEF16",0.0784964547698497,0.00396590752267389,0.0183426183351432,0.0534362744466055,0.00093094626540946,0.0177157047741239,0.0168514963676203,1.49449008723934e-07
"MEGF6",0.934348461977985,0.205380287286117,0.00644549406033645,0.0498345698077718,0.00348410226008733,0.231078196983403,0.0872811652354311,0.0638180634868313
"AL513320.1",0.0240404732852695,0.00281745835694069,0.00478974350544004,0.000300411287268432,0.000366482335312224,0.00178974299110957,4.19077994529005e-08,2.05996781854623e-05
"TPRG1L",0.327722002703856,0.0656972135645084,0.0448184783996219,0.0511255817030043,0.000438178544448498,0.0241341769687931,0.093388671581951,0.00588185916391426
"WRAP73",0.258948618830235,0.0416361294313772,0.0507499865826433,0.0109392024613686,0.0167524820057663,0.00143587109778798,0.023573127571952,0.00147577976947755
"TP73",0.25100856367859,0.0362693222868637,0.0691633727197272,0.00837971323767173,0.0520244456978292,0.0334678063063865,0.0113520526436317,0.0179758180969047
"AL136528.1",0.0509193462457924,0.00581207862933031,0.0066885863827193,0.000785368528921637,0.00682814756247652,0.000365508445410168,0.00787422129161497,8.01603407651896e-05
"CCDC27",0.0394608677319552,0.00459259238306808,0.00281411597720105,0.00164362699872633,0.000933820251536321,0.000779912909176783,0.0036624853191114,0.000595752078769163
"SMIM1",0.357277700117609,0.0353935257942362,0.0461364550969789,0.0116621616509827,0.0213511714743375,0.00857351517975502,0.0206745864802516,0.000688278068539105
"LRRC47",0.477935786205363,0.0690702606304772,0.119280532490584,0.0358931510938354,0.00875683784250514,0.00428589836380944,0.273137264952106,0.0102048561475665
"AL365330.1",0.0286136169406204,0.00462570874751878,0.0083460521876022,0.000437737442882113,0.000268611840836819,0.00182834314336189,0.00119001003058283,0.000157386989652064
"CEP104",0.494423373677855,0.0231609679708034,0.220281565962033,0.094461146346736,0.10609561216216,0.0773561844628956,0.159639291815816,0.0768951884830837
"DFFB",0.180009842785089,0.0188391250448672,0.0184685514014515,0.000712016220616452,0.00242763954869663,0.00203855267579822,0.0875173566260212,7.83967060158375e-06
"C1orf174",0.448451222901114,0.0688466236479113,0.00220169064286679,0.0281869109072685,0.0204428175348048,0.0265091121488981,0.130048815519768,0.0113737908128742
